canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
CC(C)Oc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,CHEMBL283253,IC50,nM,100000.0,IC50,uM,100.0
CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O,CHEMBL332643,IC50,nM,2500.0,IC50,uM,2.5
CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O,CHEMBL332643,IC50,nM,1000.0,IC50,uM,1.0
CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O,CHEMBL332643,IC50,nM,1100.0,IC50,uM,1.1
CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O,CHEMBL332643,IC50,nM,4100.0,IC50,uM,4.1
O=[N+]([O-])c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)nc(CN4CCOCC4)nc3c2c1,CHEMBL283693,IC50,nM,100000.0,IC50,uM,100.0
OC1N=C(c2ccccc2F)c2cc(Cl)ccc2-n2cncc21,CHEMBL121550,IC50,nM,10000.0,IC50,uM,10.0
NC(=O)c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,CHEMBL283438,IC50,nM,1360.0,IC50,uM,1.36
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL386630,IC50,nM,10000.0,IC50,uM,10.0
Cn1c2cccc([N+](=O)[O-])c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL30052,IC50,nM,100000.0,IC50,uM,100.0
COc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,CHEMBL284676,IC50,nM,100000.0,IC50,uM,100.0
Cn1c2ccnc(Cl)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL27415,IC50,nM,9440.0,IC50,uM,9.44
O=[N+]([O-])c1cc([N+](=O)[O-])c2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)nc(CN4CCOCC4)nc3c2c1,CHEMBL284024,IC50,nM,42260.0,IC50,uM,42.26
O=[N+]([O-])c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,CHEMBL25867,IC50,nM,12580.0,IC50,uM,12.58
Cn1c2cccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL26678,IC50,nM,260.0,IC50,uM,0.26
CCOC(=O)Cn1c2ccc([N+](=O)[O-])cc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL26039,IC50,nM,15000.0,IC50,uM,15.0
Cn1c2ccnc(Cl)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL418382,IC50,nM,20030.0,IC50,uM,20.03
Cn1c2ccnc(N3CCOCC3)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL28629,IC50,nM,20800.0,IC50,uM,20.8
Cn1c2nccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL25903,IC50,nM,1230.0,IC50,uM,1.23
Cn1c2cccc(C(N)=O)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL439727,IC50,nM,31310.0,IC50,uM,31.31
Cn1c2ccnc(NCc3ccccn3)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL281326,IC50,nM,18480.0,IC50,uM,18.48
OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,CHEMBL1188,IC50,nM,10000.0,IC50,uM,10.0
CNc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,CHEMBL25731,IC50,nM,53810.0,IC50,uM,53.81
Cc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,CHEMBL27007,IC50,nM,100000.0,IC50,uM,100.0
NC(=O)c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1ccncc1,CHEMBL283255,IC50,nM,200.0,IC50,uM,0.2
Cc1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,CHEMBL26369,IC50,nM,9250.0,IC50,uM,9.25
Cc1cc(C#N)c2c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n(C)c2n1,CHEMBL28168,IC50,nM,100000.0,IC50,uM,100.0
COCc1nc(N2CCN(CCc3ccc(F)c(F)c3)CC2)c2c(n1)c1c(Cl)nccc1n2C,CHEMBL25905,IC50,nM,36820.0,IC50,uM,36.82
COc1ccc2c(c1)[nH]c1c(N3CCN(CCc4ccc(F)c(F)c4)CC3)ncnc12,CHEMBL281284,IC50,nM,1530.0,IC50,uM,1.53
O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1cccnc1,CHEMBL29631,IC50,nM,8100.0,IC50,uM,8.1
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CHEMBL193,IC50,nM,10000.0,IC50,uM,10.0
Cn1c2nccc(C(N)=O)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,CHEMBL281496,IC50,nM,33690.0,IC50,uM,33.69
O=[N+]([O-])c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,CHEMBL282156,IC50,nM,6620.0,IC50,uM,6.62
COc1ccc2c3nc[nH]c(N4CCN(CCc5ccc(F)c(F)c5)CC4)c-3nc2c1[N+](=O)[O-],CHEMBL281743,IC50,nM,1790.0,IC50,uM,1.79
